image,label
/content/drive/MyDrive/UAS Practice/text/00000.png,A
/content/drive/MyDrive/UAS Practice/text/00001.png,A
/content/drive/MyDrive/UAS Practice/text/00002.png,A
/content/drive/MyDrive/UAS Practice/text/00003.png,A
/content/drive/MyDrive/UAS Practice/text/00004.png,A
/content/drive/MyDrive/UAS Practice/text/00005.png,A
/content/drive/MyDrive/UAS Practice/text/00006.png,A
/content/drive/MyDrive/UAS Practice/text/00007.png,A
/content/drive/MyDrive/UAS Practice/text/00008.png,A
/content/drive/MyDrive/UAS Practice/text/00009.png,A
/content/drive/MyDrive/UAS Practice/text/00010.png,A
/content/drive/MyDrive/UAS Practice/text/00011.png,A
/content/drive/MyDrive/UAS Practice/text/00012.png,A
/content/drive/MyDrive/UAS Practice/text/00013.png,A
/content/drive/MyDrive/UAS Practice/text/00014.png,A
/content/drive/MyDrive/UAS Practice/text/00015.png,A
/content/drive/MyDrive/UAS Practice/text/00016.png,A
/content/drive/MyDrive/UAS Practice/text/00017.png,A
/content/drive/MyDrive/UAS Practice/text/00018.png,A
/content/drive/MyDrive/UAS Practice/text/00019.png,A
/content/drive/MyDrive/UAS Practice/text/00020.png,A
/content/drive/MyDrive/UAS Practice/text/00021.png,A
/content/drive/MyDrive/UAS Practice/text/00022.png,A
/content/drive/MyDrive/UAS Practice/text/00023.png,A
/content/drive/MyDrive/UAS Practice/text/00024.png,A
/content/drive/MyDrive/UAS Practice/text/00025.png,A
/content/drive/MyDrive/UAS Practice/text/00026.png,A
/content/drive/MyDrive/UAS Practice/text/00027.png,A
/content/drive/MyDrive/UAS Practice/text/00028.png,A
/content/drive/MyDrive/UAS Practice/text/00029.png,A
/content/drive/MyDrive/UAS Practice/text/00030.png,A
/content/drive/MyDrive/UAS Practice/text/00031.png,A
/content/drive/MyDrive/UAS Practice/text/00032.png,A
/content/drive/MyDrive/UAS Practice/text/00033.png,A
/content/drive/MyDrive/UAS Practice/text/00034.png,A
/content/drive/MyDrive/UAS Practice/text/00035.png,A
/content/drive/MyDrive/UAS Practice/text/00036.png,A
/content/drive/MyDrive/UAS Practice/text/00037.png,A
/content/drive/MyDrive/UAS Practice/text/00038.png,A
/content/drive/MyDrive/UAS Practice/text/00039.png,A
/content/drive/MyDrive/UAS Practice/text/00040.png,A
/content/drive/MyDrive/UAS Practice/text/00041.png,A
/content/drive/MyDrive/UAS Practice/text/00042.png,A
/content/drive/MyDrive/UAS Practice/text/00043.png,A
/content/drive/MyDrive/UAS Practice/text/00044.png,A
/content/drive/MyDrive/UAS Practice/text/00045.png,A
/content/drive/MyDrive/UAS Practice/text/00046.png,A
/content/drive/MyDrive/UAS Practice/text/00047.png,A
